code,amphoe,tambon
"650100","เมืองพิษณุโลก",""
"650101","เมืองพิษณุโลก","ในเมือง"
"650102","เมืองพิษณุโลก","วังน้ำคู้"
"650103","เมืองพิษณุโลก","วัดจันทร์"
"650104","เมืองพิษณุโลก","วัดพริก"
"650105","เมืองพิษณุโลก","ท่าทอง"
"650106","เมืองพิษณุโลก","ท่าโพธิ์"
"650107","เมืองพิษณุโลก","สมอแข"
"650108","เมืองพิษณุโลก","ดอนทอง"
"650109","เมืองพิษณุโลก","บ้านป่า"
"650110","เมืองพิษณุโลก","ปากโทก"
"650111","เมืองพิษณุโลก","หัวรอ"
"650112","เมืองพิษณุโลก","จอมทอง"
"650113","เมืองพิษณุโลก","บ้านกร่าง"
"650114","เมืองพิษณุโลก","บ้านคลอง"
"650115","เมืองพิษณุโลก","พลายชุมพล"
"650116","เมืองพิษณุโลก","มะขามสูง"
"650117","เมืองพิษณุโลก","อรัญญิก"
"650118","เมืองพิษณุโลก","บึงพระ"
"650119","เมืองพิษณุโลก","ไผ่ขอดอน"
"650120","เมืองพิษณุโลก","งิ้วงาม"
"650200","นครไทย",""
"650201","นครไทย","นครไทย"
"650202","นครไทย","หนองกะท้าว"
"650203","นครไทย","บ้านแยง"
"650204","นครไทย","เนินเพิ่ม"
"650205","นครไทย","นาบัว"
"650206","นครไทย","นครชุม"
"650207","นครไทย","น้ำกุ่ม"
"650208","นครไทย","ยางโกลน"
"650209","นครไทย","บ่อโพธิ์"
"650210","นครไทย","บ้านพร้าว"
"650211","นครไทย","ห้วยเฮี้ย"
"650300","ชาติตระการ",""
"650301","ชาติตระการ","ป่าแดง"
"650302","ชาติตระการ","ชาติตระการ"
"650303","ชาติตระการ","สวนเมี่ยง"
"650304","ชาติตระการ","บ้านดง"
"650305","ชาติตระการ","บ่อภาค"
"650306","ชาติตระการ","ท่าสะแก"
"650400","บางระกำ",""
"650401","บางระกำ","บางระกำ"
"650402","บางระกำ","ปลักแรด"
"650403","บางระกำ","พันเสา"
"650404","บางระกำ","วังอิทก"
"650405","บางระกำ","บึงกอก"
"650406","บางระกำ","หนองกุลา"
"650407","บางระกำ","ชุมแสงสงคราม"
"650408","บางระกำ","นิคมพัฒนา"
"650409","บางระกำ","บ่อทอง"
"650410","บางระกำ","ท่านางงาม"
"650411","บางระกำ","คุยม่วง"
"650500","บางกระทุ่ม",""
"650501","บางกระทุ่ม","บางกระทุ่ม"
"650502","บางกระทุ่ม","บ้านไร่"
"650503","บางกระทุ่ม","โคกสลุด"
"650504","บางกระทุ่ม","สนามคลี"
"650505","บางกระทุ่ม","ท่าตาล"
"650506","บางกระทุ่ม","ไผ่ล้อม"
"650507","บางกระทุ่ม","นครป่าหมาก"
"650508","บางกระทุ่ม","เนินกุ่ม"
"650509","บางกระทุ่ม","วัดตายม"
"650600","พรหมพิราม",""
"650601","พรหมพิราม","พรหมพิราม"
"650602","พรหมพิราม","ท่าช้าง"
"650603","พรหมพิราม","วงฆ้อง"
"650604","พรหมพิราม","มะตูม"
"650605","พรหมพิราม","หอกลอง"
"650606","พรหมพิราม","ศรีภิรมย์"
"650607","พรหมพิราม","ตลุกเทียม"
"650608","พรหมพิราม","วังวน"
"650609","พรหมพิราม","หนองแขม"
"650610","พรหมพิราม","มะต้อง"
"650611","พรหมพิราม","ทับยายเชียง"
"650612","พรหมพิราม","ดงประคำ"
"650700","วัดโบสถ์",""
"650701","วัดโบสถ์","วัดโบสถ์"
"650702","วัดโบสถ์","ท่างาม"
"650703","วัดโบสถ์","ท้อแท้"
"650704","วัดโบสถ์","บ้านยาง"
"650705","วัดโบสถ์","หินลาด"
"650706","วัดโบสถ์","คันโช้ง"
"650800","วังทอง",""
"650801","วังทอง","วังทอง"
"650802","วังทอง","พันชาลี"
"650803","วังทอง","แม่ระกา"
"650804","วังทอง","บ้านกลาง"
"650805","วังทอง","วังพิกุล"
"650806","วังทอง","แก่งโสภา"
"650807","วังทอง","ท่าหมื่นราม"
"650808","วังทอง","วังนกแอ่น"
"650809","วังทอง","หนองพระ"
"650810","วังทอง","ชัยนาม"
"650811","วังทอง","ดินทอง"
"650895","วังทอง","บ้านน้อยซุ้มขี้เหล็ก"
"650896","วังทอง","วังโพรง"
"650897","วังทอง","ไทรย้อย"
"650898","วังทอง","บ้านมุง"
"650899","วังทอง","ชมพู"
"650900","เนินมะปราง",""
"650901","เนินมะปราง","ชมพู"
"650902","เนินมะปราง","บ้านมุง"
"650903","เนินมะปราง","ไทรย้อย"
"650904","เนินมะปราง","วังโพรง"
"650905","เนินมะปราง","บ้านน้อยซุ้มขี้เหล็ก"
"650906","เนินมะปราง","เนินมะปราง"
"650907","เนินมะปราง","วังยาง"
"650908","เนินมะปราง","โคกแหลม"
"659900","เทศบาลเมืองพิษณุโลก",""
