hospcode,name
"00051","สำนักงานสาธารณสุขจังหวัดพิษณุโลก"
"00688","สำนักงานสาธารณสุขอำเภอเมืองพิษณุโลก"
"00689","สำนักงานสาธารณสุขอำเภอนครไทย"
"00690","สำนักงานสาธารณสุขอำเภอชาติตระการ"
"00691","สำนักงานสาธารณสุขอำเภอบางระกำ"
"00692","สำนักงานสาธารณสุขอำเภอบางกระทุ่ม"
"00693","สำนักงานสาธารณสุขอำเภอพรหมพิราม"
"00694","สำนักงานสาธารณสุขอำเภอวัดโบสถ์"
"00695","สำนักงานสาธารณสุขอำเภอวังทอง"
"00696","สำนักงานสาธารณสุขอำเภอเนินมะปราง"
"07476","โรงพยาบาลส่งเสริมสุขภาพตำบลวังน้ำคู้"
"07477","โรงพยาบาลส่งเสริมสุขภาพตำบลงิ้วงาม"
"07478","โรงพยาบาลส่งเสริมสุขภาพตำบลวัดจันทร์"
"07479","โรงพยาบาลส่งเสริมสุขภาพตำบลวัดพริก"
"07480","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเสาหิน"
"07481","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าทอง"
"07482","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าโพธิ์"
"07483","โรงพยาบาลส่งเสริมสุขภาพตำบลสมอแข"
"07484","โรงพยาบาลส่งเสริมสุขภาพตำบลดอนทอง"
"07485","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านป่า"
"07486","โรงพยาบาลส่งเสริมสุขภาพตำบลปากโทก"
"07487","โรงพยาบาลส่งเสริมสุขภาพตำบลหัวรอ"
"07488","โรงพยาบาลส่งเสริมสุขภาพตำบลจอมทอง"
"07489","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านจอมทอง"
"07490","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกร่าง"
"07491","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านคลอง"
"07492","โรงพยาบาลส่งเสริมสุขภาพตำบลพลายชุมพล"
"07493","โรงพยาบาลส่งเสริมสุขภาพตำบลมะขามสูง"
"07494","โรงพยาบาลส่งเสริมสุขภาพตำบลอรัญญิก"
"07495","โรงพยาบาลส่งเสริมสุขภาพตำบลบึงพระ"
"07496","โรงพยาบาลส่งเสริมสุขภาพตำบลไผ่ขอดอน"
"07497","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาจาน"
"07498","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกะท้าว"
"07499","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบางยางพัฒนา"
"07500","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแยง"
"07501","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองหิน"
"07502","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเกษตรสุข"
"07503","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยตีนตั่ง"
"07504","โรงพยาบาลส่งเสริมสุขภาพตำบลเนินเพิ่ม"
"07505","โรงพยาบาลส่งเสริมสุขภาพตำบลนาบัว"
"07506","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาคล้อ"
"07507","โรงพยาบาลส่งเสริมสุขภาพตำบลนครชุม"
"07508","โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำกุ่ม"
"07509","โรงพยาบาลส่งเสริมสุขภาพตำบลยางโกลน"
"07510","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านบุ่งตารอด"
"07511","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำเลา"
"07512","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแก่งทุ่ง"
"07513","โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อโพธิ์"
"07514","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านพร้าว"
"07515","โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยเฮี้ย"
"07516","โรงพยาบาลส่งเสริมสุขภาพตำบลชาติตระการ"
"07517","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่ไทยเจริญ"
"07518","โรงพยาบาลส่งเสริมสุขภาพตำบลสวนเมี่ยง"
"07519","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโคกใหญ่"
"07520","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดง"
"07521","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาตาจูม"
"07522","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาตอน"
"07523","โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อภาค"
"07524","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านร่มเกล้า"
"07525","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าสะแก"
"07526","โรงพยาบาลส่งเสริมสุขภาพตำบลปลักแรด"
"07527","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดงโคกขาม"
"07528","โรงพยาบาลส่งเสริมสุขภาพตำบลพันเสา"
"07529","โรงพยาบาลส่งเสริมสุขภาพตำบลวังอิทก"
"07530","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านปรือกระเทียม"
"07531","โรงพยาบาลส่งเสริมสุขภาพตำบลบึงกอก"
"07532","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองกุลา"
"07533","โรงพยาบาลส่งเสริมสุขภาพตำบลในนิคมบางระกำ"
"07534","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองนา"
"07535","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองไผ่"
"07536","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านชุมแสง"
"07537","โรงพยาบาลส่งเสริมสุขภาพตำบลชุมแสงสงคราม"
"07538","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองอ้อ"
"07539","โรงพยาบาลส่งเสริมสุขภาพตำบลนิคมพัฒนา"
"07540","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านใหม่เจริญผล"
"07541","โรงพยาบาลส่งเสริมสุขภาพตำบลบ่อทอง"
"07542","โรงพยาบาลส่งเสริมสุขภาพตำบลท่านางงาม"
"07543","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านดง"
"07544","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านไร่"
"07545","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังตาบัว"
"07546","โรงพยาบาลส่งเสริมสุขภาพตำบลโคกสลุด"
"07547","โรงพยาบาลส่งเสริมสุขภาพตำบลสนามคลี"
"07548","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าตาล"
"07549","โรงพยาบาลส่งเสริมสุขภาพตำบลไผ่ล้อม"
"07550","โรงพยาบาลส่งเสริมสุขภาพตำบลนครป่าหมาก"
"07551","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแหลมครก"
"07552","โรงพยาบาลส่งเสริมสุขภาพตำบลเนินกุ่ม"
"07553","โรงพยาบาลส่งเสริมสุขภาพตำบลวัดตายม"
"07554","โรงพยาบาลส่งเสริมสุขภาพตำบลท่าช้าง"
"07555","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาขุม"
"07556","โรงพยาบาลส่งเสริมสุขภาพตำบลวงฆ้อง"
"07557","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านวังมะด่าน"
"07558","โรงพยาบาลส่งเสริมสุขภาพตำบลมะตูม"
"07559","โรงพยาบาลส่งเสริมสุขภาพตำบลหอกลอง"
"07560","โรงพยาบาลส่งเสริมสุขภาพตำบลศรีภิรมย์"
"07561","โรงพยาบาลส่งเสริมสุขภาพตำบลตลุกเทียม"
"07562","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองสะแก"
"07563","โรงพยาบาลส่งเสริมสุขภาพตำบลวังวน"
"07564","โรงพยาบาลส่งเสริมสุขภาพตำบลหนองแขม"
"07565","โรงพยาบาลส่งเสริมสุขภาพตำบลมะต้อง"
"07566","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหางไหล"
"07567","โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านศรีเจริญ"
