source_table,report_name,category
"s_1ddd_ipvisit","ddd summary ipvisit day","ข้อมูลเพื่อตอบสนอง Service Plan สาขา RDU"
"s_1ddd_opvisit","ddd summary opvisit","ข้อมูลเพื่อตอบสนอง Service Plan สาขา RDU"
"s_2q_adl","การคัดกรองโรคซึมเศร้า (2Q) ในกลุ่มผู้สูงอายุ","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_2q_adl_plus","การประเมินการฆ่าตัวตาย (8Q) ในกลุ่มผู้สูงอายุจาก 2Q Plus เสี่ยงต่อการฆ่าตัวตาย","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_2q_adl_test","การประเมินและคัดกรองภาวะซึมเศร้าและความเสี่ยงต่อการฆ่าตัวตาย (2Q plus) ในกลุ่มผู้สูงอายุ","การเข้าถึงระบบบริการสุขภาพจิต"
"s_2q_anc","การคัดกรองโรคซึมเศร้า (2Q) ในหญิงตั้งครรภ์","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_2q_chronic","การคัดกรองโรคซึมเศร้า (2Q) ในผู้ป่วยโรคเรื้อรัง","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_8q_adl","การประเมินการฆ่าตัวตาย (8Q) ในกลุ่มผู้สูงอายุ","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_8q_anc","การประเมินการฆ่าตัวตาย (8Q) ในหญิงตั้งครรภ์","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_8q_chronic","การประเมินการฆ่าตัวตาย (8Q) ในผู้ป่วยโรคเรื้อรัง","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_9q_adl","การประเมินโรคซึมเศร้า (9Q) ในกลุ่มผู้สูงอายุ","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_9q_anc","การประเมินโรคซึมเศร้า (9Q) ในหญิงตั้งครรภ์","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_9q_chronic","การประเมินโรคซึมเศร้า (9Q) ในผู้ป่วยโรคเรื้อรัง","ส่งเสริมและป้องกันปัญหาสุขภาพจิต"
"s_9q_remission","ร้อยละของผู้ป่วยโรคซึมเศร้าหายทุเลา (Remission) 2568","การเข้าถึงระบบบริการสุขภาพจิต"
"s_accident1","รายงานอุบัติเหตุทางถนน","การใช้บริการสาธารณสุข"
"s_accident2","รายงานอุบัติเหตุทางถนน จำแนกตามสถานที่เกิดเหตุและประเภทผู้บาดเจ็บ","การใช้บริการสาธารณสุข"
"s_accident3","รายงานอุบัติเหตุทางถนน จำแนกตามประเภทยานพาหนะที่เกิดเหตุ","การใช้บริการสาธารณสุข"
"s_accident4","รายงานอุบัติเหตุทางถนน จำแนกตามปัจจัยเสี่ยง","การใช้บริการสาธารณสุข"
"s_aged10","การคัดกรองผู้สูงอายุ 10 เรื่อง","การคัดกรอง"
"s_aged4","ร้อยละผู้สูงอายุได้รับการคัดกรองภาวะการถดถอยด้านสุขภาพ ที่ได้จัดทำ Care Plan และได้รับ Intervention อย่างน้อย 1 กิจกรรม","การคัดกรอง"
"s_aged9","การคัดกรองผู้สูงอายุ 9 ด้าน (Basic/Community Screen STEP1)","การคัดกรอง"
"s_aged9_2","ผู้สูงอายุที่พบสภาวะทดถอยจากการคัดกรองโดยเจ้าหน้าที่สาธารณสุข และหรือ ประเมินซ้ำ โดยเจ้าหน้าที่สาธารณสุข (Confirm STEP2)","การคัดกรอง"
"s_aged9_3","ผู้สูงอายุที่ผิดปกติได้รับการจัดทำ Care Plan และให้โปรแกรมส่งเสริมสุขภาพ (Intervension STEP3 BigRock4)","การคัดกรอง"
"s_aged9_app","การคัดกรองผู้สูงอายุ 9 ด้าน จาก API","การคัดกรอง"
"s_aged9_risk","ผลการติดตามผู้สูงอายุ ที่พบมีภาวะความถดทอย/พบความเสี่ยง ใน STEP1,2","การคัดกรอง"
"s_aged9_w","การคัดกรองผู้สูงอายุ 9 ด้าน (Basic/Community Screen STEP1) workload","การคัดกรอง"
"s_ageing","จำนวนผู้สูงอายุในเขตพื้นที่รับผิดชอบ จำแนกตามความสามารถในการทำกิจวัตรประจำวัน","การคัดกรอง"
"s_alcohol","ความชุกผู้บริโภคเครื่องดื่มแอลกอฮอล์ในประชากรอายุ 15 - 19 ปี","การคัดกรอง"
"s_alcohol1","การคัดกรองและการบำบัดผู้ดื่มเครื่องดื่มแอลกอฮอล์ (specialpp)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol10","อุบัติการณ์ของความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสุรา","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol11","อุบัติการณ์ของผู้มีปัญหาการดื่มเครื่องดื่มแอลกอฮอล์ระดับเสี่ยงสูงที่ได้รับการวินิจฉัยว่ามีความผิดปกติทางจิตและพฤติกรรมที่เกิดจากการเสพสุรา","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol2","การคัดกรองและการบำบัดผู้ดื่มเครื่องดื่มแอลกอฮอล์ (workload specialpp)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol3","ประชากรอายุ 15 ปีขึ้นไปในเขตพื้นที่รับผิดชอบได้รับการคัดกรองพฤติกรรมการดื่มเครื่องดื่มแอลกอฮอล์ (Coverage)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol4","ประชากรอายุ 15 ปีขึ้นไปได้รับการคัดกรองพฤติกรรมการดื่มเครื่องดื่มแอลกอฮอล์ (Workload)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol5","ผลการคัดกรองประชากรอายุ 15 ปีขึ้นไปในเขตพื้นที่รับผิดชอบทั้งหมด ตามช่วงอายุ (Coverage)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol6","ผู้ดื่มเครื่องดื่มแอลกอฮอล์ในปีงบประมาณที่ได้รับการให้คำแนะนำ หรือได้รับการบำบัดแบบสั้น (Coverage)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol7","ผู้ดื่มเครื่องดื่มแอลกอฮอล์ระดับความเสี่ยงปานกลางและสูง ที่ได้รับการติดตาม (Coverage)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alcohol8","ผู้ดื่มเครื่องดื่มแอลกอฮอล์ระดับความเสี่ยงปานกลางและสูง ที่ได้รับการติดตาม (Workload)","ข้อมูลเพื่อตอบสนอง Service Plan สาขายาเสพติด"
"s_alien_anc","ประชากรต่างด้าวรับบริการฝากครรภ์","ต่างด้าว"
"s_alien_env1","ประชากรแรงงานต่างด้าวเจ็บป่วยด้วยโรคจากการประกอบอาชีพ (14 กลุ่มโรค)","โรคจากการประกอบอาชีพและสิ่งแวดล้อมแรงงานต่างด้าว"
"s_alien_env2","ประชากรแรงงานต่างด้าวเจ็บป่วยด้วยโรคจากการประกอบอาชีพ (14 กลุ่มโรค) จำแนกรายอาชีพ","โรคจากการประกอบอาชีพและสิ่งแวดล้อมแรงงานต่างด้าว"
"s_alien_epi","ประชากรต่างด้าวรับบริการสร้างเสริมภูมิคุ้มกันโรค","ต่างด้าว"
"s_alien_fp","ประชากรต่างด้าวรับบริการวางแผนครอบครัว","ต่างด้าว"
